Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,approx_sales,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Platform_year
9075,Sudeki,Role-Playing,M,XB,Microsoft Game Studios,Climax Group,,,0.19,,0.19,0.14,0.04,,0.01,2004,4
9076,Ice Age: Dawn of the Dinosaurs,Platform,E10,PS3,Activision,Eurocom Entertainment Software,6.6,,0.19,,0.19,0.13,0.04,,0.02,2009,4
9077,"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",Adventure,,PSP,Sony Computer Entertainment,Millennium Kitchen,,,0.19,,0.19,,,0.19,,2009,6
9078,AeroFighters Assault,Action,E,N64,Victory Lap Games,Paradigm Entertainment,5.4,,0.19,,0.19,0.15,0.04,,0,1997,2
9079,Chou-Kuukan Night Pro Yakyuu King,Sports,,N64,Imagineer,Genki,,,0.19,,0.19,,,0.19,0,1996,1
9080,Hexen,Shooter,M,N64,GT Interactive,Software Creations,4.4,,0.19,,0.19,0.15,0.04,,0,1997,2
9081,Kamaitachi no Yoru 3,Adventure,,PS2,Sega,ChunSoft,,,0.19,0.19,,,,,,2006,7
9082,Mace: The Dark Age,Fighting,M,N64,Midway Games,Atari,7.1,,0.19,,0.19,0.15,0.04,,0,1997,2
9083,Puyo Puyo 7,Puzzle,,DS,Sega,Sega,,,0.19,0.19,,,,,,2009,6
9084,Puyo Puyo Sun 64,Puzzle,,N64,Compile,Compile,,,0.19,,0.19,,,0.16,0.03,1997,2
9085,Quake,Shooter,M,N64,Midway Games,Midway Studios San Diego,,,0.19,,0.19,0.15,0.04,,0,1998,3
9086,Sesame Street: Elmo's Number Journey,Misc,EC,N64,NewKidCo,Realtime Associates,,,0.19,,0.19,0.15,0.04,,0,1999,4
9088,Tottadoo! Yoiko no Mujintou Seikatsu,Adventure,,DS,Namco Bandai,Bandai Namco Games,,,0.19,,0.19,,,0.19,,2008,5
9089,Teenage Mutant Ninja Turtles 2: Battle Nexus,Action,T,GC,Konami,Konami,5,,0.19,,0.19,0.15,0.04,,0.01,2004,4
9090,Barbie Horse Adventures: Riding Camp,Sports,E,PS2,Activision,Pixel Tales,,,0.19,,0.19,0.09,0.07,,0.02,2008,9
9091,SSX Tricky,Sports,E,GBA,EA Sports BIG,Visual Impact,,,0.19,,0.19,0.14,0.05,,0,2002,2
9092,Air Conflicts: Secret Wars,Simulation,T,PS3,Kalypso,Games Farm,,,0.19,,0.19,0.1,0.06,,0.03,2011,6
9093,Kenka Banchou 4: Ichinen Sensou,Action,,PSP,Spike,Spike,,,0.19,,0.19,,,0.19,,2010,7
9094,Transformers: Prime,Fighting,E10,3DS,Activision,Now Production,,,0.19,,0.19,0.14,0.03,,0.02,2012,2
9097,Warhammer: Shadow of the Horned Rat,Strategy,E,PS,SSI,Games Workshop,,,0.19,,0.19,0.11,0.07,,0.01,1996,3
9098,50 Cent: Blood on the Sand,Shooter,M,PS3,THQ,Swordfish Studios,7.2,,0.19,,0.19,0.1,0.06,0.01,0.03,2009,4
9100,FaceBreaker,Fighting,T,X360,EA Sports,EA Canada,,,0.19,,0.19,0.15,0.02,,0.01,2008,4
9101,Pro Yakyuu Team o Tsukurou!,Sports,,DS,Sega,Sega,,,0.19,,0.19,,,0.19,,2008,5
9102,ESPN International Track & Field,Sports,E,PS2,Konami,Konami,,,0.19,,0.19,0.09,0.07,,0.02,2000,1
9103,Toukiden Kiwami,Action,,PS4,Tecmo Koei,Koei Tecmo Games,,,0.19,,0.19,0.06,0.07,0.03,0.03,2015,3
9105,DanceDanceRevolution,Simulation,E10,PS3,Konami,Konami,,,0.19,,0.19,0.12,0.05,,0.02,2010,5
9106,Lunar Legend,Role-Playing,E,GBA,Ubisoft,Magic Rings,7.7,,0.19,,0.19,0.14,0.05,,0,2002,2
9107,Conflict: Global Terror,Shooter,M,PS2,2K Games,Pivotal Games,,,0.19,,0.19,0.09,0.07,,0.02,2005,6
9108,Death Jr.,Platform,T,PSP,Konami,Backbone Entertainment,5.9,,0.19,,0.19,0.17,0,,0.01,2005,2
9109,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,Misc,,PS2,D3 Publisher,Bisty,,,0.19,,0.19,,,0.19,,2006,7
9110,The Walking Dead: Season Two,Misc,,PS3,Telltale Games,Unknown,,,0.19,,0.19,0.09,0.06,,0.03,2014,9
9111,3rd Super Robot Wars Z Jigoku Hen,Misc,,PSV,Namco Bandai Games,Unknown,,,0.19,,0.19,,,0.19,,2014,4
9112,Cabela's Survival: Shadows of Katmai,Sports,T,PS3,Activision,Activision,,,0.19,,0.19,0.11,0.05,,0.03,2011,6
9113,Hulk,Action,T,GC,Universal Interactive,Radical Entertainment,7.3,,0.19,,0.19,0.15,0.04,,0.01,2003,3
9114,Boogie,Misc,E10,PS2,Electronic Arts,"Pipeworks Software, Inc.",,,0.19,,0.19,0.09,0.07,,0.02,2007,8
9115,Gungrave,Shooter,M,PS2,Sega,"Ikusabune Inc. / Positron Co., Ltd",,,0.19,,0.19,0.09,0.07,,0.02,2002,3
9116,Transworld Surf,Sports,T,PS2,Atari,Angel Studios,,,0.19,,0.19,0.09,0.07,,0.02,2002,3
9117,Tenchu: Fatal Shadows,Action,M,PS2,Sega,K2 LLC,,,0.19,,0.19,0.09,0.07,,0.02,2005,6
9118,Magical ZhuZhu Princess: Carriages & Castles,Simulation,E,DS,Activision,Black Lantern Studios,,,0.19,,0.19,0.13,0.04,,0.02,2011,8
9120,Jurassic: The Hunted,Shooter,T,PS3,Activision,Activision,,,0.19,,0.19,0.17,,,0.02,2009,4
9121,Reel Fishing Paradise 3D,Sports,E,3DS,Natsume,Natsume,,,0.19,,0.19,0.12,,0.06,0.01,2011,1
9122,Fairy Fencer F,Role-Playing,T,PS3,NIS America,Compile Heart,,,0.19,,0.19,0.05,0.03,0.09,0.02,2014,9
9123,Street Fighter 30th Anniversary Collection,Fighting,T,NS,Capcom,Capcom,8.5,,0.19,,0.19,0.12,0.04,0.01,0.02,2018,2
9124,The Legend of Spyro: A New Beginning,Platform,E10,GC,Sierra Entertainment,Krome Studios,6.5,,0.19,,0.19,0.15,0.04,,0.01,2006,6
9125,Fantasia: Music Evolved,Music,E10,XOne,Disney Interactive Studios,Harmonix Music Systems,,,0.19,,0.19,0.14,0.03,,0.02,2014,2
9126,International Soccer,Sports,,2600,Mattel Interactive,Mattel,,,0.19,,0.19,0.18,0.01,,0,1982,6
9127,Armored Core: For Answer,Simulation,T,PS3,Ubisoft,From Software,6.1,,0.19,,0.19,0.06,0.02,0.1,0.01,2008,3
9128,Princess Maker: Yumemiru Yosei,Strategy,,PS,Sony Computer Entertainment,Unknown,,,0.19,,0.19,,,0.18,0.01,1997,4
9129,Conflict: Denied Ops,Shooter,M,PS3,Eidos Interactive,Pivotal Games,5.2,,0.19,,0.19,0.05,0.1,,0.03,2008,3
9130,Squeeballs Party,Puzzle,E10,Wii,Aksys Games,Eiconic Games,,,0.19,,0.19,0.17,0,,0.01,2009,4
9131,Where's Waldo? The Fantastic Journey,Adventure,E,Wii,Ubisoft,Classic Media Distribution Limited,,,0.19,,0.19,0.17,,,0.01,2009,4
9132,Big Air,Sports,E,PS,Accolade,Pitbull Syndicate,,,0.19,,0.19,0.1,0.07,,0.01,1999,6
9133,Farmtopia,Simulation,E,DS,505 Games,505 Games,,,0.19,,0.19,0.18,,,0.01,2010,7
9134,Shining Force II,Strategy,,GEN,Sega,Camelot Software Planning,9,,0.19,,0.19,,,0.19,,1994,7
9135,Gallop Racer,Sports,E,PS,Tecmo,Tecmo,,,0.19,,0.19,,,0.18,0.01,1999,6
9136,Harry Potter and the Prisoner of Azkaban,Adventure,E,XB,Electronic Arts,Electronic Arts,,,0.19,,0.19,0.14,0.04,,0.01,2004,4
9138,Sudoku Gridmaster,Puzzle,E,DS,Nintendo,Hudson Soft,,,0.19,,0.19,,,0.19,,2006,3
9139,Remember Me,Action,M,X360,Capcom,DONTNOD Entertainment,,,0.19,,0.19,0.11,0.06,,0.02,2013,9
9141,College Slam,Sports,E,PS,Acclaim Entertainment,Iguana Entertainment,,,0.19,,0.19,0.1,0.07,,0.01,1996,3
9142,Monsters vs. Aliens,Platform,E10,PS2,Activision,Beenox,,,0.19,,0.19,0.11,0,,0.08,2009,10
9144,How to Train Your Dragon 2,Action-Adventure,E10,Wii,Little Orbit,Torus Games,,,0.19,,0.19,0.04,0.14,,0.01,2014,9
9145,Creed: Rise to Glory,Sports,,PS4,Sony Interactive Entertainment,Survios,,,0.19,,0.19,0.15,,,0.04,2018,6
9146,God Eater 3,Role-Playing,T,PS4,Bandai Namco Entertainment,Bandai Namco Studios,,,0.19,,0.19,,,0.19,,2019,7
9147,Pro Evolution Soccer 2014,Sports,E,3DS,Konami Digital Entertainment,Konami,,,0.19,,0.19,,,0.19,,2013,3
9148,Pro Yakyuu Spirits 4,Sports,,PS2,Konami,PawaPuro Production,,,0.19,,0.19,,,0.19,,2007,8
9149,Risen,Role-Playing,M,X360,Deep Silver,Piranha Bytes,5.9,,0.19,,0.19,0.07,0.11,,0.01,2010,6
9150,Tamagotchi Party On!,Misc,E,Wii,Namco Bandai,High Horse Entertainment,,,0.19,,0.19,0.12,0,0.06,0.01,2007,2
9151,Beyblade: Metal Fusion - Battle Fortress,Action,E,Wii,Konami,Konami,,,0.19,,0.19,0.15,,0.03,0.01,2010,5
9153,Daigasso! Band Brothers,Misc,,DS,Nintendo,Nintendo R&D2,8,,0.19,,0.19,,,0.19,,2004,1
9154,Family Feud: 2012 Edition,Misc,E10,Wii,Ubisoft,Ubisoft,,,0.19,,0.19,0.17,,,0.01,2011,6
9155,Rise of the Kasai,Action,M,PS2,Sony Computer Entertainment,BottleRocket Entertainment,,,0.19,,0.19,0.09,0.07,,0.02,2005,6
9156,Thoroughbred Breeder,Simulation,,SNES,Hect,Hector,,,0.19,,0.19,,,0.19,,1993,4
9157,Momotarou Dentetsu World,Misc,,DS,Hudson Soft,Hudson Soft,,,0.19,,0.19,,,0.19,,2010,7
9158,Nostalgia,Role-Playing,E10,DS,Ignition Entertainment,Matrix Software / RED Entertainment,7.2,,0.19,,0.19,0.16,,0.02,0.01,2009,6
9159,Dynasty Warriors Gundam,Action,T,X360,Namco Bandai,Omega Force,6,,0.19,,0.19,0.15,0.01,0.02,0.01,2007,3
9161,Rango:,Action,E10,PS3,Paramount Digital Entertainment,Behaviour Studios,,,0.19,,0.19,0.07,0.09,,0.03,2011,6
9162,"Ni Hao, Kai-lan: Super Game Day",Misc,E,Wii,2K Play,High Voltage Software,,,0.19,,0.19,0.17,0,,0.01,2009,4
9163,Chibi-Robo! Park Patrol,Adventure,E,DS,Nintendo,skip Ltd.,,,0.19,,0.19,,,0.19,,2007,4
9164,Binary Domain,Action,M,X360,Sega,Amusement Vision,,,0.19,,0.19,0.09,0.07,0.02,0.02,2012,8
9165,Major League Baseball 2K10,Sports,E,PS3,2K Sports,Visual Concepts,7.2,,0.19,,0.19,0.17,,,0.02,2010,5
9166,Tokyo Xanadu,Role-Playing,T,PSV,Aksys Games,Nihon Falcom Corporation,,,0.19,,0.19,0.02,,0.16,0.01,2017,7
9167,One Piece: Unlimited Adventure,Adventure,T,Wii,Namco Bandai,Ganbarion,,,0.19,,0.19,0.07,,0.11,0.01,2008,3
9168,Crash & Spyro Superpack,Platform,E,GBA,Vivendi Games,VU Games,,,0.19,,0.19,0.13,0.05,,0,2005,5
9169,Batman: A Telltale Game Series,Adventure,M,PS4,Telltale Games,Telltale Games,,,0.19,,0.19,0.09,0.07,,0.03,2016,4
9170,Tekken Tag Tournament 2,Fighting,T,WiiU,Namco Bandai Games,Bandai Namco Games,8.1,,0.19,,0.19,0.09,0.07,0.01,0.01,2012,1
9172,Mirror's Edge Catalyst,Platform,T,XOne,Electronic Arts,EA DICE,,,0.19,,0.19,0.11,0.06,,0.02,2016,4
9173,ThunderStrike 2,Simulation,E,PS,Core Design Ltd.,Core Design Ltd.,,,0.19,,0.19,0.1,0.07,,0.01,1995,2
9176,Pro Yakyuu Spirits 2012,Sports,,PS3,Konami Digital Entertainment,Konami,,,0.19,,0.19,,,0.19,,2012,7
9177,Barbie Horse Adventures: Riding Camp,Sports,E,Wii,Activision,Pixel Tales,,,0.19,,0.19,0.17,0,,0.01,2008,3
9178,Warriors: Legends of Troy,Action,M,PS3,Tecmo Koei,Tecmo Koei Canada,,,0.19,,0.19,0.06,0.05,0.07,0.02,2011,6
9179,Jeep Thrills,Racing,E,Wii,DSI Games,Game Sauce,,,0.19,,0.19,0.17,0,,0.01,2008,3
9180,Super Real Mahjong P V,Misc,,SAT,Seta Corporation,Seta Corporation,,,0.19,,0.19,,,0.19,,1995,2
9181,The Adventures of Jimmy Neutron Boy Genius: Game Boy Advance Video Volume 1,Misc,,GBA,Majesco,Majesco Games,,,0.19,,0.19,0.13,0.05,,0,2004,4
9182,Face Training,Misc,,DS,Nintendo,Intelligent Systems,,,0.19,,0.19,,0,0.19,0,2010,7
9183,Penguin no Mondai X: Tenkuu no 7 Senshi,Action,,DS,Konami,Konami,,,0.19,,0.19,,,0.19,,2009,6
9184,The Scorpion King: Sword of Osiris,Action,E,GBA,Vivendi Games,WayForward,,,0.19,,0.19,0.13,0.05,,0,2002,2
9185,Bubsy 3D,Platform,E,PS,Accolade,Eidetic,5.8,,0.19,,0.19,0.1,0.07,,0.01,1996,3
9186,SBK X: Superbike World Championship,Racing,E10,X360,Deep Silver,Milestone S.r.l,,,0.19,,0.19,0.1,0.07,,0.02,2010,6
9187,Mathews Bowhunting,Sports,T,Wii,Zoo Games,Zoo Games,,,0.19,,0.19,0.18,,,0.01,2010,5
9188,Earth Defense Force: Insect Armageddon,Shooter,T,X360,D3 Publisher,Vicious Cycle,6.7,,0.19,,0.19,0.1,0.04,0.03,0.01,2011,7
9189,The Surge,Action,M,PS4,Focus Home Interactive,DECK13 Interactive,,,0.19,,0.19,0.07,0.08,0.01,0.03,2017,5
9192,NCAA Final Four 2001,Sports,E,PS2,Sony Computer Entertainment,989 Sports,,,0.19,,0.19,0.09,0.07,,0.02,2000,1
9193,Half-Minute Hero,Role-Playing,E10,PSP,Xseed Games,Opus Studio,8.5,,0.19,,0.19,0.08,0.02,0.07,0.02,2009,6
9194,Nascar Unleashed,Racing,E,Wii,Activision,Activision,,,0.19,,0.19,0.17,,,0.02,2011,6
9195,Robin Hood: Defender of the Crown,Strategy,T,PS2,Capcom,Cinemaware,,,0.19,,0.19,0.09,0.07,,0.02,2003,4
9196,SD Gundam GX,Strategy,,SNES,Bandai,Bec,,,0.19,,0.19,,,0.19,,1994,5
9197,R-Type Final,Shooter,E,PS2,Eidos Interactive,Irem Software Engineering,8.1,,0.19,,0.19,0.09,0.07,,0.02,2004,5
9200,GRID: Autosport,Racing,E,PS3,Codemasters,Codemasters,,,0.19,,0.19,0.05,0.1,0.01,0.03,2014,9
9201,Jackie Chan Adventures: Legend of the Dark Hand,Action,E,GBA,Activision,Torus Games,7.8,,0.19,,0.19,0.13,0.05,,0,2001,1
9202,Bolt,Adventure,E10,PS3,Disney Interactive Studios,Avalanche Software,,,0.19,,0.19,0.12,0.05,,0.02,2008,3
9203,Shadows of the Damned,Action,M,X360,Electronic Arts,Grasshopper Manufacture,7.6,,0.19,,0.19,0.1,0.06,0.01,0.02,2011,7
9204,Sega GT 2002,Racing,E,XB,Sega,Wow Entertainment,,,0.19,,0.19,0.12,0.03,0.03,0.01,2002,2
9205,Ty the Tasmanian Tiger 3: Night of the Quinkan,Action,E10,PS2,Activision,Krome Studios,6.3,,0.19,,0.19,0.09,0.07,,0.02,2005,6
9206,Disney's Meet the Robinsons,Action,E10,Wii,Disney Interactive Studios,Avalanche Software,,,0.19,,0.19,0.17,0,,0.01,2007,2
9207,Samurai Warriors 2: Empires,Action,T,PS2,KOEI,Omega Force,,,0.19,,0.19,,,0.19,,2007,8
9208,Blood Omen 2,Action,M,XB,Eidos Interactive,Crystal Dynamics,,,0.19,,0.19,0.14,0.04,,0.01,2002,2
9209,Saw II: Flesh & Blood,Action,M,PS3,Konami,Zombie Studios,4.2,,0.19,,0.19,0.1,0.06,,0.02,2010,5
9211,Harry Potter: Quidditch World Cup,Sports,E,XB,Electronic Arts,Electronic Arts,,,0.19,,0.19,0.14,0.04,,0.01,2003,3
9212,J-League Pro Soccer Club o Tsukurou! 5,Sports,,PS2,Sega,Sega,,,0.19,,0.19,,,0.19,,2007,8
9213,Little Battlers eXperience W,Role-Playing,,PSP,Level 5,Level 5,,,0.19,,0.19,,,0.19,,2012,9
9214,Cabela's Survival: Shadows of Katmai,Sports,T,X360,Activision,Activision,,,0.19,,0.19,0.14,0.03,,0.01,2011,7
9215,Camping Mama: Outdoor Adventures,Simulation,E,DS,Majesco,Office Create,,,0.19,,0.19,0.12,0.05,,0.02,2011,8
9216,Daigasso! Band Brothers P,Music,,3DS,Nintendo,Nintendo,,,0.19,,0.19,,,0.19,,2013,3
9217,WWE All Stars,Fighting,T,PSP,THQ,THQ,,,0.19,,0.19,0.12,0.04,,0.03,2011,8
9218,La Pucelle: Tactics,Role-Playing,T,PS2,Mastiff,Nippon Ichi Software,,,0.19,,0.19,0.09,0.07,,0.02,2004,5
9219,Hot Wheels: Battle Force 5,Racing,E10,Wii,Activision,Sidhe Interactive,,,0.19,,0.19,0.17,0,,0.01,2009,4
9220,Hidden Mysteries: Vampire Secrets,Adventure,E10,DS,GameMill,Gunnar Games,,,0.19,,0.19,0.06,0.11,,0.02,2010,7
9221,Battle of Giants: Dinosaurs Strike,Strategy,E10,Wii,Ubisoft,Ubisoft Quebec City,,,0.19,,0.19,0.14,0.03,,0.01,2010,5
9222,Tiger Woods PGA Tour 07,Sports,E,XB,EA Sports,EA Redwood Shores,7.9,,0.19,,0.19,0.13,0.05,,0.01,2006,6
9223,Naruto to Boruto: Shinobi Striker,Action,T,XOne,Bandai Namco Games,Soleil Software Studio Inc.,,,0.19,,0.19,0.17,,,0.02,2018,6
9224,XCOM 2,Strategy,T,XOne,2K Games,Firaxis Games,,,0.19,,0.19,0.15,0.02,,0.02,2016,4
9225,Star Wars: The Clone Wars & Tetris Worlds,Misc,T,XB,Microsoft,Various,,,0.19,,0.19,0.14,0.04,,0.01,2003,3
9226,The Bee Game,Adventure,E,DS,Midway Games,Midway,,,0.19,,0.19,0.17,,,0.01,2007,4
9227,CSI: Fatal Conspiracy,Adventure,M,PS3,Ubisoft,Telltale Games,,,0.19,,0.19,0.11,0.05,,0.02,2010,5
9228,Happy Cooking,Simulation,E,DS,Ubisoft,MTO,,,0.19,,0.19,0.17,0,,0.01,2008,5
9229,EverQuest Online Adventures: Frontiers,Role-Playing,T,PS2,Sony Online Entertainment,Sony Online Entertainment,,,0.19,,0.19,0.09,0.07,,0.02,2003,4
9230,F1 2017,Racing,E,XOne,Deep Silver,Codemasters,,,0.19,,0.19,0.04,0.13,,0.01,2017,5
9231,Imagine: Babyz Fashion,Simulation,E,DS,Ubisoft,Visual Impact,,,0.19,,0.19,0.17,,,0.01,2009,6
9232,Go Play: Lumberjacks,Simulation,E,Wii,Majesco,Panic Button,,,0.19,,0.19,0.17,,,0.01,2009,4
9233,Phantasy Star Online Ver. 2,Role-Playing,T,DC,Sega,Sonic Team,8.3,,0.19,,0.19,,,0.19,0,2001,4
9234,Treasures of the Deep,Action,T,PS,Namco,Black Ops Entertainment,,,0.19,,0.19,0.1,0.07,,0.01,1997,4
9235,Ninja Gaiden 3: Razor's Edge,Action,M,WiiU,Nintendo,Team Ninja,6.5,,0.19,,0.19,0.14,0.03,,0.02,2012,1
9236,Samurai Warriors: State of War,Action,T,PSP,KOEI,Omega Force,6.5,,0.19,,0.19,0.07,0,0.11,0.01,2006,3
9237,Dragon Blade: Wrath of Fire,Action,T,Wii,D3 Publisher,D3 Publisher,,,0.18,,0.18,0.17,0,,0.01,2007,2
9238,Ghostbusters:,Action,E10,PSP,Atari,Red Fly Studio,,,0.18,,0.18,0.16,0.01,,0.02,2009,6
9239,Fight Club,Fighting,M,PS2,VU Games,Genuine Games,,,0.18,,0.18,0.09,0.07,,0.02,2004,5
9240,Remington Super Slam Hunting: North America,Sports,T,Wii,Mastiff,Mastiff,,,0.18,,0.18,0.17,,,0.01,2010,5
9242,The Munchables,Action,E,Wii,Namco Bandai,Namco Bandai Games,8,,0.18,,0.18,0.17,0,0,0.01,2009,4
9243,Active Health with Carol Vorderman,Sports,,DS,Nintendo,Fuse Games Limited,,,0.18,,0.18,,0.18,,0.01,2009,6
9244,Dance Dance Revolution: Disney Grooves,Simulation,E,Wii,Konami,Bemani,,,0.18,,0.18,0.17,,,0.01,2009,4
9245,Valhalla Knights 3,Misc,,PSV,Xseed Games,Unknown,,,0.18,,0.18,0.04,0.01,0.12,0.02,2013,3
9246,Cars: Race-O-Rama,Racing,E,PS3,THQ,Rainbow Studios,,,0.18,,0.18,0.14,0.03,,0.02,2009,4
9248,Harvest Moon: A Wonderful Life Special Edition,Simulation,E,PS2,Natsume,Marvelous Interactive,,,0.18,,0.18,0.09,0.07,,0.02,2005,6
9249,Sports Illustrated for Kids: Football,Sports,E,GBA,BAM! Entertainment,Sennari Interactive,,,0.18,,0.18,0.13,0.05,,0,2003,3
9250,Senran Kagura: Estival Versus,Action,M,PSV,Xseed Games,Marvelous Entertainment,,,0.18,,0.18,0.04,0.03,0.1,0.02,2016,6
9251,.hack//Quarantine Part 4: The Final Chapter,Role-Playing,T,PS2,Bandai,CyberConnect2,6.8,,0.18,,0.18,0.09,0.07,,0.02,2004,5
9254,Chaotic: Shadow Warriors,Action,E10,DS,Activision,Activision,,,0.18,,0.18,0.17,,,0.01,2009,6
9255,Close Combat: First to Fight,Shooter,T,XB,2K Games,Destineer,,,0.18,,0.18,0.14,0.04,,0.01,2005,5
9256,Mahjong: Journey Quest for Tikal,Puzzle,E,DS,Mumbo Jumbo,Cerasus Media,,,0.18,,0.18,0.15,0.02,,0.01,2010,7
9257,Shape Up,Sports,E,XOne,Ubisoft,Ubisoft Montreal,,,0.18,,0.18,0.08,0.09,,0.01,2014,2
9258,Indiana Jones and the Emperor's Tomb,Action,T,XB,LucasArts,The Collective,,,0.18,,0.18,0.14,0.04,,0.01,2003,3
9259,Buffy the Vampire Slayer: Chaos Bleeds,Action,T,PS2,VU Games,Eurocom Entertainment Software,,,0.18,,0.18,0.09,0.07,,0.02,2003,4
9260,Reel Fishing II,Sports,E,PS,Natsume,Open Sesame,,,0.18,,0.18,0.1,0.07,,0.01,2000,7
9261,PlayStation Move Heroes,Platform,E10,PS3,Sony Computer Entertainment,Nihilistic Software,4.8,,0.18,,0.18,0.09,0.06,,0.03,2011,6
9262,Ty the Tasmanian Tiger,Platform,E,XB,Electronic Arts,Krome Studios,7,,0.18,,0.18,0.14,0.04,,0.01,2002,2
9264,Bendy and the Ink Machine,Puzzle,T,PS4,Rooster Teeth Games,TheMeatly Games,,,0.18,,0.18,0.15,,,0.03,2018,6
9266,Dead or Alive,Fighting,,SAT,Tecmo,Team Ninja,7.9,,0.18,,0.18,,,0.18,0,1997,4
9268,Driving Emotion Type-S,Racing,E,PS2,Square,Escape,,,0.18,,0.18,0.04,0.03,0.11,0.01,2001,2
9269,Jewel Master: Cradle of Athena,Puzzle,E10,DS,Storm City Games,TBD,,,0.18,,0.18,0.17,,,0.01,2010,7
9270,Siren,Adventure,M,PS2,Sony Computer Entertainment,SCE Japan Studio,,,0.18,,0.18,0.09,0.07,,0.02,2003,4
9271,Ridge Racer,Racing,E,PSV,Namco Bandai Games,Namco Bandai Games / Celius,,,0.18,,0.18,0.03,0.08,0.05,0.02,2012,2
9272,Disgaea DS,Role-Playing,T,DS,NIS America,Nippon Ichi Software,8,,0.18,,0.18,0.11,0.01,0.05,0.01,2008,5
9273,NARC,Shooter,M,XB,Midway Games,Point of View,5.5,,0.18,,0.18,0.14,0.04,,0.01,2005,5
9274,Dinosaur King,Role-Playing,E,DS,Sega,Climax Entertainment,,,0.18,0.18,,,,,,2008,5
9275,Super Robot Taisen J,Strategy,,GBA,Banpresto,Al,,,0.18,,0.18,,,0.18,0,2005,5
9278,Nep League DS,Sports,,DS,Jaleco,Jaleco Entertainment,,,0.18,,0.18,,,0.18,,2007,4
9280,Ar tonelico 2: Melody of Metafalica,Role-Playing,T,PS2,NIS America,Gust,7.2,,0.18,,0.18,0.04,0.03,0.11,0.01,2009,10
9281,Casper: Friends Around the World,Action,E,PS,Sound Source Interactive,"Sound Source Interactive, Inc.",,,0.18,,0.18,0.1,0.07,,0.01,2000,7
9282,Jurassic Park III: Island Attack,Adventure,E,GBA,Konami,Konami,4.9,,0.18,,0.18,0.13,0.05,,0,2001,1
9283,My Fitness Coach 2: Exercise and Nutrition,Sports,E,Wii,Ubisoft,Lightning Fish,,,0.18,,0.18,0.13,0.04,,0.01,2010,5
9284,Ringling Bros. and Barnum & Bailey Circus,Action,E,Wii,2K Play,2K Games,,,0.18,,0.18,0.17,0,,0.01,2009,4
9285,Star Trek: Legacy,Simulation,E10,X360,Bethesda Softworks,Mad Doc Software,6.4,,0.18,,0.18,0.14,0.02,,0.01,2006,2
9286,GameBoy Wars,Strategy,,GB,Nintendo,Intelligent Systems,,,0.18,,0.18,,,0.18,0,1991,3
9287,MotoGP 15,Racing,,PS4,Milestone S.r.l.,Milestone S.r.l.,,,0.18,,0.18,,0.13,0.04,0.02,2015,3
9288,Amplitude,Misc,T,PS2,Sony Computer Entertainment,Harmonix Music Systems,,,0.18,,0.18,0.09,0.07,,0.02,2003,4
9289,Syndicate,Shooter,,X360,Electronic Arts,Electronic Arts,,,0.18,,0.18,0.1,0.06,,0.02,2012,8
9290,Gauntlet: Seven Sorrows,Role-Playing,T,XB,Midway Games,Midway Studios San Diego,,,0.18,,0.18,0.14,0.04,,0.01,2005,5
9291,AirForce Delta Storm,Simulation,E,XB,Konami,KCE Studios,,,0.18,,0.18,0.14,0.04,,0.01,2001,1
9292,Brunswick Pro Bowling,Sports,E,PS3,Crave Entertainment,FarSight Studios,,,0.18,,0.18,0.1,0.05,,0.02,2010,5
9293,Conception II: Children of the Seven Stars,Role-Playing,M,PSV,Atlus,Spike Chunsoft,,,0.18,,0.18,0.11,,0.04,0.04,2014,4
9294,Monopoly Party,Misc,E,XB,Infogrames,Runecraft,,,0.18,,0.18,0.14,0.04,,0.01,2002,2
9295,Fear Effect 2: Retro Helix,Action,M,PS,Eidos Interactive,Kronos Digital Entertainment,,,0.18,,0.18,0.1,0.07,,0.01,2001,8
9297,MotoGP,Racing,E,Wii,Capcom,MileStone Inc.,,,0.18,,0.18,0.05,0.11,,0.02,2009,4
9298,Mushroom Men: The Spore Wars,Action,E10,Wii,SouthPeak Interactive,Red Fly Studio,7.3,,0.18,,0.18,0.16,0.01,,0.01,2008,3
9299,Doctor Who: Return to Earth,Adventure,,Wii,Asylum Entertainment,Asylum Entertainment,,,0.18,,0.18,,0.16,,0.02,2010,5
9300,Chocobo no Fushigi Dungeon for WonderSwan,Role-Playing,,WS,Bandai,SquareSoft,,,0.18,,0.18,,,0.18,0,1999,1
9301,International Superstar Soccer 2000,Sports,E,N64,Konami,KCEO,,,0.18,,0.18,,,0.18,,2000,5
9302,Klonoa: Door to Phantomile,Platform,E,PS,Namco,Namco,,,0.18,,0.18,,,0.17,0.01,1998,5
9303,Marvel Super Hero Squad: Comic Combat,Action,E10,Wii,THQ,THQ,,,0.18,,0.18,0.14,0.03,,0.02,2011,6
9304,Vietcong: Purple Haze,Shooter,M,PS2,Gathering of Developers,Coyote Developments,,,0.18,,0.18,0.09,0.07,,0.02,2004,5
