Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,approx_sales,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Platform_year
52,Call of Duty: Modern Warfare 3,Shooter,M,PS3,Activision,Infinity Ward,8.8,,13.35,,13.35,5.54,5.78,0.49,1.54,2011,6
53,Super Smash Bros. Brawl,Fighting,T,Wii,Nintendo,Project Sora,9.2,9.7,13.29,13.29,,,,,,2008,3
54,Grand Theft Auto III,Action,M,PS2,Rockstar Games,DMA Design,9.5,,13.1,,13.1,6.99,4.51,0.3,1.3,2001,2
55,New Super Mario Bros. 2,Platform,E,3DS,Nintendo,Nintendo,7.5,,13.08,13.08,,,,,,2012,2
57,Minecraft,Misc,E10,X360,Microsoft Studios,Mojang,,,13,13,,,,,,2013,9
58,Super Mario Galaxy,Platform,E,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.6,12.78,12.78,,,,,,2007,2
59,Pokemon Heart Gold / Soul Silver Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,,12.72,12.72,,,,,,2010,7
60,Call of Duty: Black Ops,Shooter,M,PS3,Activision,Treyarch,8.7,,12.67,,12.67,6.01,4.4,0.48,1.78,2010,5
62,Super Mario 3D Land,Platform,E,3DS,Nintendo,Nintendo EAD Tokyo,8.9,,12.41,12.41,,,,,,2011,1
63,Animal Crossing: New Leaf,Simulation,E,3DS,Nintendo,Nintendo EAD,8.6,,12.1,12.1,,,,,,2013,3
64,Super Smash Bros. Ultimate,Fighting,E10,NS,Nintendo,Bandai Namco Games,9.4,9.7,12.08,12.08,,,,,,2018,2
66,Pokemon FireRed / LeafGreen Version,Role-Playing,E,GBA,Nintendo,Game Freak,8.3,,12,12,,,,,,2004,4
67,Gran Turismo 5,Racing,E,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,,11.95,11.95,,,,,,2010,5
68,Super Mario 64,Platform,E,N64,Nintendo,Nintendo EAD,9.7,,11.91,11.91,,,,,,1996,1
